"","country.code","region","gdp","component","stimulus","check"
"84","JPN","OECD+",4971323079771.87,"Health.sector.spending",3.8e+07,0.00764384036004833
"85","KAZ","REF",179339994859.384,"Health.sector.spending",0,0
"86","KEN","MAF",87908262519.9164,"Health.sector.spending",0,0
"87","KGZ","REF",8092836608.78875,"Health.sector.spending",1.6e+07,1.97705709054155
"88","KHM","ASIA",24542474061.2426,"Health.sector.spending",6e+07,2.44474130237553
"89","KOR","ASIA",1619423701169.63,"Health.sector.spending",4e+06,0.0024700144854685
"90","KWT","MAF",140645364238.411,"Health.sector.spending",0,0
"91","LAO","ASIA",17953786416.1431,"Health.sector.spending",0,0
"92","LBN","MAF",56639155555.5556,"Health.sector.spending",0,0
"93","LBR","MAF",3.264e+09,"Health.sector.spending",0,0
"94","LBY","MAF",48364208571.4286,"Health.sector.spending",0,0
"95","LKA","ASIA",88900770857.6351,"Health.sector.spending",0,0
"96","LSO","MAF",2738786277.79392,"Health.sector.spending",26433226.28,9.6514381185274
"97","LTU","OECD+",53429066429.1251,"Health.sector.spending",543478260.9,10.1719587711857
"98","LUX","OECD+",70885325883.0941,"Health.sector.spending",210869565.2,2.97479855771237
"99","LVA","OECD+",34409229177.9105,"Health.sector.spending",15217391.3,0.442247375589832
"100","MAC","ASIA",55084050789.7182,"Health.sector.spending",0,0
"101","MAR","MAF",117921394402.361,"Health.sector.spending",0,0
"102","MDA","REF",11443671435.9024,"Health.sector.spending",0,0
"103","MDG","MAF",13853432868.227,"Health.sector.spending",0,0
"104","MDV","ASIA",5327457149.72581,"Health.sector.spending",0,0
"105","MEX","LAM",1220699479845.98,"Health.sector.spending",2e+06,0.00163840489245752
"106","MKD","OECD+",12672131053.1578,"Health.sector.spending",0,0
"107","MLI","MAF",17163432832.0957,"Health.sector.spending",0,0
"108","MLT","OECD+",14553422928.8831,"Health.sector.spending",147065217.4,10.1051978025136
"109","MMR","ASIA",71214803377.8284,"Health.sector.spending",209818.38,0.00294627479186896
"110","MNE","OECD+",5504166666.66667,"Health.sector.spending",0,0
"111","MNG","ASIA",13066749138.3261,"Health.sector.spending",6875676.3,0.526196395692096
"112","MOZ","MAF",14717223206.9,"Health.sector.spending",33153086.83,2.25267269266233
"113","MRT","MAF",5234817927.17087,"Health.sector.spending",0,0
"114","MUS","MAF",14220348672.7333,"Health.sector.spending",38309151.91,2.69396713059896
"115","MWI","MAF",7064971176.34408,"Health.sector.spending",2e+07,2.83086788336332
"116","MYS","ASIA",358581943446.259,"Health.sector.spending",0,0
"117","NAM","MAF",14521711633.9533,"Health.sector.spending",166239209.4,11.4476319038945
"118","NCL","OECD+",NA,"Health.sector.spending",0,NA
"119","NER","MAF",9290938457.2883,"Health.sector.spending",0,0
"120","NGA","MAF",397269616080.908,"Health.sector.spending",37200000,0.0936391772594656
"121","NIC","LAM",13117845416.6297,"Health.sector.spending",0,0
"122","NLD","OECD+",913658465709.125,"Health.sector.spending",0,0
"123","NOR","OECD+",434166615431.909,"Health.sector.spending",0,0
"124","NPL","ASIA",29040398982.3466,"Health.sector.spending",0,0
"125","NZL","OECD+",204923917869.355,"Health.sector.spending",345958911.6,1.68823100396001
"126","OMN","MAF",79276723016.9051,"Health.sector.spending",0,0
"127","PAK","ASIA",314588210501.063,"Health.sector.spending",123128378,0.391395398460375
"128","PAN","LAM",65055100000,"Health.sector.spending",0,0
"129","PER","LAM",222044970486.217,"Health.sector.spending",334692112.5,1.50731679158108
"130","PHL","ASIA",330910343610.956,"Health.sector.spending",1112768872,3.36275034457145
"131","PNG","ASIA",23497607690.1178,"Health.sector.spending",0,0
"132","POL","OECD+",585663814824.044,"Health.sector.spending",0,0
"133","PRI","LAM",101130900000,"Health.sector.spending",0,0
"134","PRT","OECD+",240674524464.24,"Health.sector.spending",0,0
"135","PRY","LAM",40496953779.071,"Health.sector.spending",5e+08,12.3466076665352
"136","PYF","OECD+",NA,"Health.sector.spending",0,NA
"137","QAT","MAF",191362087912.088,"Health.sector.spending",0,0
"138","ROU","OECD+",239552516744.469,"Health.sector.spending",0,0
"139","RUS","REF",1657554647149.87,"Health.sector.spending",3e+06,0.00180989507957305
"140","RWA","MAF",9508715596.4368,"Health.sector.spending",0,0
"141","SAU","MAF",786521831571.957,"Health.sector.spending",1.3e+07,0.0165284668246499
"142","SDN","MAF",40851536133.7642,"Health.sector.spending",1236100821,30.2583681786779
"143","SEN","MAF",24129599551.7869,"Health.sector.spending",141618633.9,5.86908347136298
"144","SGP","ASIA",364156657769.87,"Health.sector.spending",593101488.3,1.6286987362313
"145","SLB","OECD+",1395608472.01325,"Health.sector.spending",0,0
"146","SLE","MAF",4085114794.22324,"Health.sector.spending",0,0
"147","SLV","LAM",2.6057e+10,"Health.sector.spending",0,0
"148","SOM","MAF",4720727278.18833,"Health.sector.spending",0,0
"149","SRB","OECD+",50597289146.7041,"Health.sector.spending",389318400.8,7.6944517654136
