country.code,country,gdp,health,non.health,loans.guarantees,deferrals,international.aid,total
MRT,Mauritania,7593752450,210000000,,130000000,,,420000000
MUS,Mauritius,14180444557,42994656,430241245,5893716,,,479129616
MWI,Malawi,7666704427,,,,,,70000000
MYS,Malaysia,364701517788,,,12391174089,,,27909880518
NAM,Namibia,12366527719,166239209,,177573701,,,608284380
NER,Niger,12928145120,,,,,,1254030077
NGA,Nigeria,448120428859,48700000,8004346832,,,,9686587002
NLD,Netherlands,909070395161,,,35869565217,29347826087,,105000000000
NOR,Norway,403336363636,,,,,,22183500000
NZL,New Zealand,206928765544,10240383786,20757534702,4220698723,,,43590822873
PAK,Pakistan,278221906023,1149198194,7342555606,820855853,574599097,,10092422713
PAN,Panama,66800800000,133700000,342500000,235000000,,1556400000,711200000
PER,Peru,226848050820,912796671,3955452239,1134240254,4763809067,,15879363557
PHL,Philippines,376795508680,1025418414,4956189003,2278707588,,,11309985326
PNG,Papua New Guinea,24969611435,,349187926,182980572,,,1707818675
POL,Poland,592164400688,,,17899761337,,,73428385685
PRT,Portugal,237686075635,,713058227,16162653143,8794384798,,25670096169
PRY,Paraguay,38145288940,500000000,445000000,2600000000,,,3545000000
QAT,Qatar,183466208791,,,,,,20600000000
ROU,Romania,250077444017,,5001548880,4126277826,,,9127826707
RUS,Russia,1699876578871,,,,,,57795803682
RWA,Rwanda,10122472590,,,,,,334041595
SAU,Saudi Arabia,792966838162,12533333333,3626666667,,178666667,,20072000000
SEN,Senegal,23578084052,117890420,304111171,359894877,33290276,,1650465884
SGP,Singapore,372062527489,,,14827537204,,,88965223225
SLB,Solomon Islands,1425074226,,38280000,,,,38280000
SLE,Sierra Leone,3941474311,,,,,252100000,0
SRB,Serbia,51409167351,730000000,2120281833,2640000000,1300000000,,6790281833
SUR,Suriname,3985250737,52000000,91000000,,,,143000000
SVK,Slovakia,105422304976,,2391304348,4347826087,,,6739130435
SVN,Slovenia,53742159517,,5157608696,2826086957,,,7983695652
SWE,Sweden,530832908738,,25632000000,24000000000,32160000000,,81792000000
SWZ,Eswatini,4405405802,36000000,39600000,,,,75600000
TCD,Chad,11314951343,75600000,274770000,,,,350370000
TGO,Togo,5459979417,103000000,26000000,,,131000000,129000000
THA,Thailand,543649976166,16000000000,32000000000,32000000000,,,80000000000
TJK,Tajikistan,8116626794,,,,,239500000,0
TLS,Timor-Leste,1673540300,,150000000,,,,150000000
TUN,Tunisia,38797709924,36000000,642600000,396000000,,,1074600000
TUR,Turkey,754411708203,,83600000000,3800000000,,,87400000000
TZA,Tanzania,63177068175,,416600000,,,3200000,416600000
UGA,Uganda,34387229486,1300000,370000000,,,300000000,371300000
UKR,Ukraine,153781069118,,3378600000,201600000,,,3580200000
URY,Uruguay,56045912952,,400000000,400000000,,,800000000
USA,United States,21427700000000,208300000000,1483000000000,1242000000000,,,2933300000000
UZB,Uzbekistan,57921286440,,1000000000,,,,1000000000
VNM,Vietnam,261921244843,,35303000000,,8148500000,,43451500000
WSM,Samoa,850655017.2,,149400000,,,,149400000
ZMB,Zambia,23064722446,,408000000,,,,408000000
