"","country.code","gdp"
"231","TEC",4142093595765.05
"232","TGO",5459979416.66908
"233","THA",543649976165.63
"234","TJK",8116626794.25837
"235","TKM",NA
"236","TLA",5474751287356.85
"237","TLS",1673540300
"238","TMN",NA
"239","TON",NA
"240","TSA",3597970348647.58
"241","TSS",1755011419750.84
"242","TTO",24100202833.7504
"243","TUN",38797709923.6641
"244","TUR",754411708202.616
"245","TUV",47271463.3298575
"246","TZA",63177068174.549
"247","UGA",34387229486.4008
"248","UKR",153781069118.148
"249","UMC",25817130358727.9
"250","URY",56045912952.342
"251","USA",2.14277e+13
"252","UZB",57921286440.3495
"253","VCT",825385185.185185
"254","VEN",NA
"255","VGB",NA
"256","VIR",NA
"257","VNM",261921244843.172
"258","VUT",917058850.816563
"259","WLD",87751540848579.4
"260","WSM",850655017.220488
"261","XKX",7926108374.38424
"262","YEM",NA
"263","ZAF",351431649241.439
"264","ZMB",23064722446.3513
"265","ZWE",21440758800
