group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,individuals.households,health,business,deferrals,loans.guarantees,uncategorized.other,check
,AFG,Afghanistan,ASIA,72.08324718,8000000000,110982791.6,19362969582,0.005,"96,814,847.91",,19362969.58,,,,77451878.33,0.00
,ALB,Albania,OECD90+EU,107.9891667,45000000000,416708466.1,15102500898,0.028,"422,870,025.15",,32410658.48,125012539.80,,240764891.50,24681935.30,0.00
,DZA,Algeria,MAF,116.5937917,0,0,1.73758E+11,0,"519,753,231.57",98633038.99,249584472.60,,,171535720.00,0.00,0.00
,AGO,Angola,MAF,252.8557477,,,1.05751E+11,,"40,000,000.00",,40000000.00,,,,0.00,0.00
G20,ARG,Argentina,LAM,28.09499167,,0,5.19872E+11,0.049,"20,300,000,000.00",11000000.00,1000000.00,-,-,8300000.00,,
,ARM,Armenia,REF,482.9879466,,0,12433089919,,"137,900,000.00",,,,,,137900000.00,0.00
G20,AUS,Australia,OECD90+EU,1.338412146,2.285E+11,1.70725E+11,1.4339E+12,,"133,000,000,000.00",107000000.00,3000000.00,-,-,23000000.00,,
,AUT,Austria,OECD90+EU,0.92,45000000000,48913043478,4.55286E+11,0.09,"48,913,043,478.26",,4347826087.00,,10869565217.00,9782608.70,33685869565.00,0.00
,AZE,Azerbaijan,REF,1.700016667,,0,46939529412,,"1,946,039,744.71",,4882305.08,1941157440.00,,,0.00,0.00
,BHS,Bahamas,LAM,1,65700000,65700000,12424500000,0.006,"74,547,000.00",11800000.00,4000000.00,,30000000.00,20000000.00,8747000.00,0.00
,BHR,Bahrain,MAF,0.376,560000000,1489361702,37746196809,0.042,"1,585,340,265.96",14627659.57,470744680.90,,,,1099967926.00,0.00
,BGD,Bangladesh,ASIA,83.46620192,,0,2.74025E+11,,"7,277,197,069.62",448085562.10,,599044869.10,,6230066638.00,0.00,0.00
,BRB,Barbados,LAM,2,,0,5145000000,,0,,,,,,0.00,0.00
,BLR,Belarus,REF,2.037608333,,0,59662495092,,0,,,,,,0.00,0.00
,BEL,Belgium,OECD90+EU,0.92,66300000000,72065217391,5.42761E+11,0.135,"72,065,217,391.30",4673913043.00,,,,56521739130.00,10869565217.00,0.00
,BLZ,Belize,LAM,2,25000000,12500000,1871203164,0.01,"18,712,031.64",,,,,,18712031.64,0.00
,BEN,Benin,MAF,555.4464584,1.5E+11,270053031.6,10354274635,0.001,"270,053,031.63",90017677.21,108021212.70,72014141.77,,,0.00,0.00
,BTN,Bhutan,ASIA,NA,,#VALUE!,2446674101,,"43,395,924.00",,43395924.00,,,,0.00,0.00
,BOL,Bolivia,LAM,6.91,,0,40287647757,,"506,000,000.00",87000000.00,200000000.00,219000000.00,,,0.00,0.00
,BIH,Bosnia and Herzegovina,OECD90+EU,1.656985441,1000000000,1656985441,20161865419,,"1,656,985,441.14",,30175280.22,,,301752802.20,1325057358.76,0.00
,BWA,Botswana,MAF,10.199975,2000000000,196078912,18616018903,0.011,"204,776,207.94",,46568741.59,,,98039455.98,60168010.37,0.00
G20,BRA,Brazil,LAM,3.653825361,,0,1.86863E+12,0.11,"195,000,000,000.00",74000000.00,12000000.00,-,38000000.00,71000000.00,,
,BRN,Brunei Darussalam,ASIA,1.348918565,,0,13567351175,,0,,,,,,0.00,0.00
,BGR,Bulgaria,OECD90+EU,1.657041667,,0,65132951116,0.021,"1,367,791,973.45",,,,,,1367791973.00,0.00
,BFA,Burkina Faso,MAF,555.7178304,,0,14124775069,,0,,,,,,0.00,0.00
,BDI,Burundi,MAF,1782.876875,,0,3036931818,0.026,"78,960,227.27",26300000.00,,,,,52660227.27,0.00
